"","date","new_cases"
"1",2020-03-03,2
"2",2020-03-04,2
"3",2020-03-05,1
"4",2020-03-06,4
"5",2020-03-07,4
"6",2020-03-08,8
"7",2020-03-09,9
"8",2020-03-10,9
"9",2020-03-11,2
"10",2020-03-12,18
"11",2020-03-13,19
"12",2020-03-14,34
"13",2020-03-15,57
"14",2020-03-16,76
"15",2020-03-17,86
"16",2020-03-18,117
"17",2020-03-19,194
"18",2020-03-20,143
"19",2020-03-21,235
"20",2020-03-22,260
"21",2020-03-23,320
"22",2020-03-24,460
"23",2020-03-25,302
"24",2020-03-26,633
"25",2020-03-27,549
"26",2020-03-28,724
"27",2020-03-29,902
"28",2020-03-30,792
"29",2020-03-31,446
"30",2020-04-01,1035
"31",2020-04-02,808
"32",2020-04-03,783
"33",2020-04-04,852
"34",2020-04-05,638
"35",2020-04-06,754
"36",2020-04-07,452
"37",2020-04-08,712
"38",2020-04-09,699
"39",2020-04-10,815
"40",2020-04-11,1516
"41",2020-04-12,515
"42",2020-04-13,598
"43",2020-04-14,349
"44",2020-04-15,514
"45",2020-04-16,643
"46",2020-04-17,750
"47",2020-04-18,181
"48",2020-04-19,663
"49",2020-04-20,521
"50",2020-04-21,657
"51",2020-04-22,516
"52",2020-04-23,603
"53",2020-04-24,371
"54",2020-04-25,918
"55",2020-04-26,412
"56",2020-04-27,163
"57",2020-04-28,298
"58",2020-04-29,180
"59",2020-04-30,368
"60",2020-05-01,295
"61",2020-05-02,364
"62",2020-05-03,-161
"63",2020-05-04,334
"64",2020-05-05,0
"65",2020-05-06,178
"66",2020-05-07,480
"67",2020-05-08,533
"68",2020-05-09,553
"69",2020-05-10,138
"70",2020-05-11,175
"71",2020-05-12,98
"72",2020-05-13,234
"73",2020-05-14,219
"74",2020-05-15,187
"75",2020-05-16,264
"76",2020-05-17,227
"77",2020-05-18,226
"78",2020-05-19,173
"79",2020-05-20,223
"80",2020-05-21,228
"81",2020-05-22,252
"82",2020-05-23,288
"83",2020-05-24,271
"84",2020-05-25,152
"85",2020-05-26,165
"86",2020-05-27,219
"87",2020-05-28,285
"88",2020-05-29,304
"89",2020-05-30,350
"90",2020-05-31,257
"91",2020-06-01,297
"92",2020-06-02,200
"93",2020-06-03,195
"94",2020-06-04,366
"95",2020-06-05,331
"96",2020-06-06,377
"97",2020-06-07,382
"98",2020-06-08,142
"99",2020-06-09,392
"100",2020-06-10,421
"101",2020-06-11,294
"102",2020-06-12,310
"103",2020-06-13,270
"104",2020-06-14,283
"105",2020-06-15,227
"106",2020-06-16,346
"107",2020-06-17,300
"108",2020-06-18,336
"109",2020-06-19,417
"110",2020-06-20,375
"111",2020-06-21,377
"112",2020-06-22,292
"113",2020-06-23,259
"114",2020-06-24,345
"115",2020-06-25,367
"116",2020-06-26,311
"117",2020-06-27,451
"118",2020-06-28,323
"119",2020-06-29,457
"120",2020-06-30,266
"121",2020-07-01,229
"122",2020-07-02,313
"123",2020-07-03,328
"124",2020-07-04,374
"125",2020-07-05,413
"126",2020-07-06,328
"127",2020-07-07,232
"128",2020-07-08,287
"129",2020-07-09,443
"130",2020-07-10,418
"131",2020-07-11,402
"132",2020-07-12,542
"133",2020-07-13,291
"134",2020-07-14,306
"135",2020-07-15,233
"136",2020-07-16,375
"137",2020-07-17,339
"138",2020-07-18,312
"139",2020-07-19,313
"140",2020-07-20,246
"141",2020-07-21,135
"142",2020-07-22,127
"143",2020-07-23,252
"144",2020-07-24,229
"145",2020-07-25,313
"146",2020-07-26,263
"147",2020-07-27,209
"148",2020-07-28,135
"149",2020-07-29,111
"150",2020-07-30,203
"151",2020-07-31,255
"152",2020-08-01,204
"153",2020-08-02,238
"154",2020-08-03,153
"155",2020-08-04,106
"156",2020-08-05,112
"157",2020-08-06,167
"158",2020-08-07,213
"159",2020-08-08,290
"160",2020-08-09,186
"161",2020-08-10,131
"162",2020-08-11,157
"163",2020-08-12,120
"164",2020-08-13,278
"165",2020-08-14,325
"166",2020-08-15,235
"167",2020-08-16,198
"168",2020-08-17,121
"169",2020-08-18,132
"170",2020-08-19,214
"171",2020-08-20,253
