"","Date","Retail and recreation","Grocery and pharmacy","Parks","Transit stations","Workplaces","Residential"
"1","2020-02-15","4","0","21","9","1","-1"
"2","2020-02-16","-3","2","-14","3","1","0"
"3","2020-02-17","0","3","8","3","3","0"
"4","2020-02-18","2","3","6","5","3","0"
"5","2020-02-19","4","3","24","8","3","-1"
"6","2020-02-20","6","3","24","8","2","-1"
"7","2020-02-21","4","6","36","11","1","-2"
"8","2020-02-22","4","4","47","13","0","-3"
"9","2020-02-23","8","5","55","16","1","-4"
"10","2020-02-24","18","12","80","-3","-28","3"
"11","2020-02-25","-2","0","33","-25","-65","16"
"12","2020-02-26","0","4","25","2","-13","2"
"13","2020-02-27","4","6","27","6","0","0"
"14","2020-02-28","2","10","25","6","1","-1"
"15","2020-02-29","0","7","-5","3","1","1"
"16","2020-03-01","-8","3","-33","-1","0","2"
"17","2020-03-02","3","9","8","4","3","0"
"18","2020-03-03","-1","7","-3","1","3","0"
"19","2020-03-04","2","7","15","5","2","0"
"20","2020-03-05","3","8","14","5","2","0"
"21","2020-03-06","0","7","14","5","2","-1"
"22","2020-03-07","3","4","27","7","2","-1"
"23","2020-03-08","-1","6","-4","1","1","0"
"24","2020-03-09","0","11","21","0","2","1"
"25","2020-03-10","0","17","20","0","1","0"
"26","2020-03-11","-1","26","29","-1","0","1"
"27","2020-03-12","-9","28","10","-11","-4","4"
"28","2020-03-13","-27","23","-10","-24","-11","9"
"29","2020-03-14","-47","-10","-31","-33","-15","13"
"30","2020-03-15","-62","-33","-58","-46","-23","15"
"31","2020-03-16","-50","-16","-40","-51","-41","22"
"32","2020-03-17","-54","-20","-44","-56","-48","24"
"33","2020-03-18","-55","-19","-38","-57","-51","24"
"34","2020-03-19","-67","-36","-53","-68","-57","30"
"35","2020-03-20","-77","-42","-70","-73","-60","36"
"36","2020-03-21","-81","-48","-71","-71","-55","26"
"37","2020-03-22","-83","-58","-72","-74","-51","22"
"38","2020-03-23","-74","-42","-59","-74","-62","32"
"39","2020-03-24","-73","-40","-60","-74","-63","33"
"40","2020-03-25","-74","-42","-59","-74","-63","32"
"41","2020-03-26","-74","-42","-60","-75","-64","33"
"42","2020-03-27","-75","-39","-63","-75","-63","36"
"43","2020-03-28","-79","-47","-72","-74","-55","25"
"44","2020-03-29","-83","-59","-80","-78","-53","22"
"45","2020-03-30","-74","-45","-71","-78","-63","33"
"46","2020-03-31","-72","-36","-68","-75","-64","33"
"47","2020-04-01","-73","-40","-67","-76","-64","33"
"48","2020-04-02","-70","-35","-57","-74","-64","33"
"49","2020-04-03","-72","-34","-61","-75","-64","36"
"50","2020-04-04","-78","-44","-78","-75","-55","25"
"51","2020-04-05","-84","-60","-88","-82","-55","23"
"52","2020-04-06","-72","-39","-69","-77","-64","33"
"53","2020-04-07","-68","-30","-62","-74","-64","32"
"54","2020-04-08","-67","-27","-58","-72","-63","30"
"55","2020-04-09","-71","-28","-68","-78","-69","35"
"56","2020-04-10","-81","-45","-70","-85","-84","46"
"57","2020-04-11","-78","-40","-73","-77","-58","26"
"58","2020-04-12","-86","-83","-79","-81","-56","23"
"59","2020-04-13","-75","-44","-67","-80","-72","37"
"60","2020-04-14","-68","-33","-61","-73","-62","31"
"61","2020-04-15","-69","-35","-62","-73","-63","32"
"62","2020-04-16","-69","-34","-64","-75","-63","33"
"63","2020-04-17","-69","-30","-58","-73","-62","35"
"64","2020-04-18","-72","-40","-63","-70","-49","22"
"65","2020-04-19","-78","-53","-70","-75","-47","20"
"66","2020-04-20","-69","-44","-66","-77","-60","32"
"67","2020-04-21","-66","-36","-58","-74","-60","31"
"68","2020-04-22","-67","-38","-52","-73","-60","30"
"69","2020-04-23","-65","-36","-47","-73","-60","30"
"70","2020-04-24","-68","-33","-54","-73","-59","33"
"71","2020-04-25","-73","-41","-64","-71","-51","23"
"72","2020-04-26","-77","-50","-69","-74","-45","19"
"73","2020-04-27","-65","-37","-52","-73","-58","30"
"74","2020-04-28","-63","-31","-50","-71","-58","27"
"75","2020-04-29","-64","-32","-54","-72","-58","29"
"76","2020-04-30","-60","-19","-42","-66","-57","27"
"77","2020-05-01","-77","-44","-60","-81","-81","43"
"78","2020-05-02","-71","-33","-54","-67","-46","22"
"79","2020-05-03","-72","-44","-51","-67","-35","17"
"80","2020-05-04","-58","-27","-40","-65","-52","26"
"81","2020-05-05","-57","-24","-33","-64","-51","25"
"82","2020-05-06","-56","-23","-21","-61","-51","24"
"83","2020-05-07","-55","-22","-15","-62","-51","25"
"84","2020-05-08","-58","-19","-29","-62","-49","27"
"85","2020-05-09","-63","-26","-54","-62","-33","18"
"86","2020-05-10","-68","-36","-48","-66","-32","14"
"87","2020-05-11","-56","-25","-39","-63","-48","25"
"88","2020-05-12","-54","-21","-28","-61","-48","25"
"89","2020-05-13","-58","-27","-43","-63","-48","25"
"90","2020-05-14","-56","-22","-36","-62","-48","24"
