date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
2020-02-15,4.0,0,21.0,9.0,1.0,-1.0
2020-02-16,-3.0,2,-14.0,3.0,1.0,0.0
2020-02-17,0.0,3,8.0,3.0,3.0,0.0
2020-02-18,2.0,3,6.0,5.0,3.0,0.0
2020-02-19,4.0,3,24.0,8.0,3.0,-1.0
2020-02-20,6.0,3,24.0,8.0,2.0,-1.0
2020-02-21,4.0,6,36.0,11.0,1.0,-2.0
2020-02-22,4.0,4,47.0,13.0,0.0,-3.0
2020-02-23,8.0,5,55.0,16.0,1.0,-4.0
2020-02-24,18.0,12,80.0,-3.0,-28.0,3.0
2020-02-25,-2.0,0,33.0,-25.0,-65.0,16.0
2020-02-26,0.0,4,25.0,2.0,-13.0,2.0
2020-02-27,4.0,6,27.0,6.0,0.0,0.0
2020-02-28,2.0,10,25.0,6.0,1.0,-1.0
2020-02-29,0.0,7,-5.0,3.0,1.0,1.0
2020-03-01,-8.0,3,-33.0,-1.0,0.0,2.0
2020-03-02,3.0,9,8.0,4.0,3.0,0.0
2020-03-03,-1.0,7,-3.0,1.0,3.0,0.0
2020-03-04,2.0,7,15.0,5.0,2.0,0.0
2020-03-05,3.0,8,14.0,5.0,2.0,0.0
2020-03-06,0.0,7,14.0,5.0,2.0,-1.0
2020-03-07,3.0,4,27.0,7.0,2.0,-1.0
2020-03-08,-1.0,6,-4.0,1.0,1.0,0.0
2020-03-09,0.0,11,21.0,0.0,2.0,1.0
2020-03-10,0.0,17,20.0,0.0,1.0,0.0
2020-03-11,-1.0,26,29.0,-1.0,0.0,1.0
2020-03-12,-9.0,28,10.0,-11.0,-4.0,4.0
2020-03-13,-27.0,23,-10.0,-24.0,-11.0,9.0
2020-03-14,-47.0,-10,-31.0,-33.0,-15.0,13.0
2020-03-15,-62.0,-33,-58.0,-46.0,-23.0,15.0
2020-03-16,-50.0,-16,-40.0,-51.0,-41.0,22.0
2020-03-17,-54.0,-20,-44.0,-56.0,-48.0,24.0
2020-03-18,-55.0,-19,-38.0,-57.0,-51.0,24.0
2020-03-19,-67.0,-36,-53.0,-68.0,-57.0,30.0
2020-03-20,-77.0,-42,-70.0,-73.0,-60.0,36.0
2020-03-21,-81.0,-48,-71.0,-71.0,-55.0,26.0
2020-03-22,-83.0,-58,-72.0,-74.0,-51.0,22.0
2020-03-23,-74.0,-42,-59.0,-74.0,-62.0,32.0
2020-03-24,-73.0,-40,-60.0,-74.0,-63.0,33.0
2020-03-25,-74.0,-42,-59.0,-74.0,-63.0,32.0
2020-03-26,-74.0,-42,-60.0,-75.0,-64.0,33.0
2020-03-27,-75.0,-39,-63.0,-75.0,-63.0,36.0
2020-03-28,-79.0,-47,-72.0,-74.0,-55.0,25.0
2020-03-29,-83.0,-59,-80.0,-78.0,-53.0,22.0
